q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,8,3,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,8,4,2,2,rule_trivial_lower,rule_trivial_upper
2,8,5,2,2,rule_trivial_lower,rule_trivial_upper
2,8,6,2,2,rule_trivial_lower,rule_trivial_upper
2,8,7,2,2,rule_trivial_lower,rule_trivial_upper
2,8,8,1,1,rule_trivial_lower,rule_trivial_upper
2,9,1,62,62,lit_ostergard_blass_2001,lit_wille_1990_and_1996
2,9,2,16,16,lit_ostergard_weakly_2000,lit_graham_sloane_1985
2,9,3,7,7,lit_cohen_lobstein_sloane_1986,lit_cohen_lobstein_sloane_1986
2,9,4,2,2,rule_trivial_lower,rule_trivial_upper
2,9,5,2,2,rule_trivial_lower,rule_trivial_upper
2,9,6,2,2,rule_trivial_lower,rule_trivial_upper
2,9,7,2,2,rule_trivial_lower,rule_trivial_upper
2,9,8,2,2,rule_trivial_lower,rule_trivial_upper
2,9,9,1,1,rule_trivial_lower,rule_trivial_upper
2,10,1,107,120,lit_bertolo_ostergard_weakly_2004,lit_wille_1990_and_1996
2,10,2,24,30,lit_habsieger_plagne_2000,lit_hamalainen_rankinen_1991
2,10,3,12,12,lit_ostergard_2005,lit_cohen_lobstein_sloane_1986
2,10,4,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,10,5,2,2,rule_trivial_lower,rule_trivial_upper
2,10,6,2,2,rule_trivial_lower,rule_trivial_upper
2,10,7,2,2,rule_trivial_lower,rule_trivial_upper
2,10,8,2,2,rule_trivial_lower,rule_trivial_upper
2,10,9,2,2,rule_trivial_lower,rule_trivial_upper
2,10,10,1,1,rule_trivial_lower,rule_trivial_upper
2,11,1,180,192,lit_blass_litsyn_1998_and_1999,lit_cohen_lobstein_sloane_1986
2,11,2,37,44,lit_habsieger_plagne_2000,lit_honkala_hamalainen_1988
2,11,3,15,16,lit_keri_2006,lit_graham_sloane_1985
2,11,4,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,11,5,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,11,6,2,2,rule_trivial_lower,rule_trivial_upper
2,11,7,2,2,rule_trivial_lower,rule_trivial_upper
2,11,8,2,2,rule_trivial_lower,rule_trivial_upper
2,11,9,2,2,rule_trivial_lower,rule_trivial_upper
2,11,10,2,2,rule_trivial_lower,rule_trivial_upper
2,12,1,348,380,lit_wu_chen_2024,lit_wille_1990_and_1996
2,12,2,62,78,lit_habsieger_plagne_2000,lit_ostergard_1994
2,12,3,19,28,lit_gijswijt_polak_2025,lit_hamalainen_honkala_kaikkonen_litsyn_1993
2,12,4,11,12,lit_ostergard_2005,lit_cohen_lobstein_sloane_1986
2,12,5,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,12,6,2,2,rule_trivial_lower,rule_trivial_upper
2,12,7,2,2,rule_trivial_lower,rule_trivial_upper
2,12,8,2,2,rule_trivial_lower,rule_trivial_upper
2,12,9,2,2,rule_trivial_lower,rule_trivial_upper
2,12,10,2,2,rule_trivial_lower,rule_trivial_upper
2,13,1,607,704,lit_gijswijt_polak_2025,lit_ostergard_weakly_1999
2,13,2,101,128,lit_gijswijt_polak_2025,lit_graham_sloane_1985
2,13,3,28,42,lit_li_chen_1994,lit_hamalainen_honkala_kaikkonen_litsyn_1993
2,13,4,12,16,lit_keri_2009,lit_graham_sloane_1985
2,13,5,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,13,6,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,13,7,2,2,rule_trivial_lower,rule_trivial_upper
2,13,8,2,2,rule_trivial_lower,rule_trivial_upper
2,13,9,2,2,rule_trivial_lower,rule_trivial_upper
2,13,10,2,2,rule_trivial_lower,rule_trivial_upper
2,14,1,1185,1408,lit_gijswijt_polak_2025,rule_trivial_upper
2,14,2,170,248,lit_gijswijt_polak_2025,lit_bertolo_di_pasquale_santisi_2006
2,14,3,44,64,lit_li_chen_1994,lit_graham_sloane_1985
2,14,4,16,28,lit_bhandari_chanduka_lal_1998,lit_hamalainen_honkala_kaikkonen_litsyn_1993
2,14,5,10,12,lit_keri_2006,lit_cohen_lobstein_sloane_1986
2,14,6,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,14,7,2,2,rule_trivial_lower,rule_trivial_upper
2,14,8,2,2,rule_trivial_lower,rule_trivial_upper
2,14,9,2,2,rule_trivial_lower,rule_trivial_upper
2,14,10,2,2,rule_trivial_lower,rule_trivial_upper
2,15,1,2048,2048,rule_perfect_code,rule_perfect_code
2,15,2,310,384,lit_habsieger_plagne_2000,lit_ostergard_kaikkonen_1998
2,15,3,70,112,lit_li_chen_1994,lit_honkala_hamalainen_1988
2,15,4,23,32,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,15,5,12,16,lit_keri_2009,lit_graham_sloane_1985
2,15,6,7,7,lit_cohen_lobstein_sloane_1986,lit_cohen_lobstein_sloane_1986
2,15,7,2,2,rule_trivial_lower,rule_trivial_upper
2,15,8,2,2,rule_trivial_lower,rule_trivial_upper
2,15,9,2,2,rule_trivial_lower,rule_trivial_upper
2,15,10,2,2,rule_trivial_lower,rule_trivial_upper
2,16,1,4096,4096,lit_van_wee_1988,rule_trivial_upper
2,16,2,512,768,lit_zhang_1991,rule_trivial_upper
2,16,3,115,192,lit_habsieger_plagne_2000,lit_hamalainen_honkala_litsyn_ostergard_1995
2,16,4,34,64,lit_gijswijt_polak_2025,rule_trivial_upper
2,16,5,14,28,lit_gijswijt_polak_2025,lit_cohen_honkala_litsyn_lobstein_1997
2,16,6,9,12,lit_keri_ostergard_2003_2006,lit_cohen_lobstein_sloane_1986
2,16,7,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,16,8,2,2,rule_trivial_lower,rule_trivial_upper
2,16,9,2,2,rule_trivial_lower,rule_trivial_upper
2,16,10,2,2,rule_trivial_lower,rule_trivial_upper
2,17,1,7426,8192,lit_gijswijt_polak_2025,rule_trivial_upper
2,17,2,889,1536,lit_gijswijt_polak_2025,rule_trivial_upper
2,17,3,187,320,lit_habsieger_plagne_2000,lit_ostergard_kaikkonen_1998
2,17,4,52,112,lit_li_chen_1994,lit_honkala_hamalainen_1988
2,17,5,20,32,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,17,6,11,16,lit_keri_2009,lit_graham_sloane_1985
2,17,7,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,17,8,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,17,9,2,2,rule_trivial_lower,rule_trivial_upper
2,17,10,2,2,rule_trivial_lower,rule_trivial_upper
2,18,1,14666,16384,lit_wu_chen_2024,rule_trivial_upper
2,18,2,1702,2944,lit_zhang_1991,lit_ostergard_kaikkonen_1998
2,18,3,316,512,lit_zhang_lo_1992,lit_brualdi_pless_1990
2,18,4,83,192,lit_zhang_1991,lit_cohen_honkala_litsyn_lobstein_1997
2,18,5,28,64,lit_gijswijt_polak_2025,rule_trivial_upper
2,18,6,13,28,lit_gijswijt_polak_2025,lit_cohen_honkala_litsyn_lobstein_1997
2,18,7,9,12,lit_keri_ostergard_2003_2006,lit_cohen_lobstein_sloane_1986
2,18,8,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,18,9,2,2,rule_trivial_lower,rule_trivial_upper
2,18,10,2,2,rule_trivial_lower,rule_trivial_upper
2,19,1,26309,31744,lit_habsieger_plagne_2000,lit_li_chen_1994
2,19,2,2898,4096,lit_haas_2007_2008,lit_graham_sloane_1985
2,19,3,513,1024,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,19,4,128,256,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,19,5,40,64,lit_zhang_lo_1992,lit_graham_sloane_1985
2,19,6,17,32,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,19,7,10,16,lit_keri_2009,lit_graham_sloane_1985
2,19,8,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,19,9,2,2,rule_trivial_lower,rule_trivial_upper
2,19,10,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,20,1,52618,63488,lit_habsieger_plagne_2000,rule_trivial_upper
2,20,2,5330,8192,lit_habsieger_plagne_2000,rule_trivial_upper
2,20,3,892,2048,lit_haas_2007_2008,rule_trivial_upper
2,20,4,208,512,lit_li_chen_1994,rule_trivial_upper
2,20,5,62,128,lit_li_chen_1994,rule_trivial_upper
2,20,6,24,64,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,20,7,12,28,lit_keri_2009,lit_cohen_honkala_litsyn_lobstein_1997
2,20,8,9,12,lit_keri_ostergard_2003_2006,lit_cohen_lobstein_sloane_1986
2,20,9,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,20,10,2,2,rule_trivial_lower,rule_trivial_upper
2,21,1,96477,122880,lit_gijswijt_polak_2025,lit_mollard_1981
2,21,2,9900,14336,lit_haas_2007_2008,lit_etzion_greenberg_1993
2,21,3,1475,3072,lit_honkala_1991,lit_ostergard_kaikkonen_1998
2,21,4,336,896,lit_li_chen_1994,lit_honkala_hamalainen_1988
2,21,5,95,256,lit_li_chen_1994,rule_trivial_upper
2,21,6,34,64,lit_gijswijt_polak_2025,lit_graham_sloane_1985
2,21,7,15,32,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,21,8,10,16,lit_keri_2009,lit_graham_sloane_1985
2,21,9,7,7,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,21,10,2,2,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,22,1,191501,245760,lit_gijswijt_polak_2025,rule_trivial_upper
2,22,2,17336,24576,lit_habsieger_plagne_2000,lit_etzion_greenberg_1993
2,22,3,2544,4096,lit_habsieger_plagne_2000,rule_trivial_upper
2,22,4,553,1536,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,22,5,150,512,lit_li_chen_1994,rule_trivial_upper
2,22,6,49,128,lit_li_chen_1994,rule_trivial_upper
2,22,7,21,64,lit_gijswijt_polak_2025,rule_trivial_upper
2,22,8,11,28,lit_keri_2009,lit_cohen_honkala_litsyn_lobstein_1997
2,22,9,9,12,lit_keri_ostergard_2003_2006,lit_cohen_lobstein_sloane_1986
2,22,10,4,4,lit_cohen_lobstein_sloane_1986,rule_trivial_upper
2,23,1,352827,393216,lit_haas_2007_2008,lit_mollard_1981
2,23,2,30828,32768,lit_gijswijt_polak_2025,lit_etzion_greenberg_1993
2,23,3,4096,4096,rule_perfect_code,rule_perfect_code
2,23,4,912,2048,lit_habsieger_plagne_2000,lit_ostergard_kaikkonen_1998
2,23,5,235,640,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,23,6,73,224,lit_li_chen_1994,lit_van_wee_1988
2,23,7,29,64,lit_li_chen_1994,lit_graham_sloane_1985
2,23,8,14,32,lit_gijswijt_polak_2025,rule_trivial_upper
2,23,9,9,16,lit_plagne_2008,lit_graham_sloane_1985
2,23,10,7,7,lit_cohen_lobstein_sloane_1986,lit_cohen_lobstein_sloane_1986
2,24,1,701709,786432,lit_wu_chen_2024,rule_trivial_upper
2,24,2,60381,65536,lit_haas_2007_2008,rule_trivial_upper
2,24,3,8128,8192,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,24,4,1505,4096,lit_li_chen_1994,rule_trivial_upper
2,24,5,376,1024,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,24,6,113,384,lit_li_chen_1994,lit_van_wee_1988
2,24,7,41,128,lit_li_chen_1994,rule_trivial_upper
2,24,8,19,64,lit_gijswijt_polak_2025,rule_trivial_upper
2,24,9,10,28,lit_keri_2009,lit_cohen_honkala_litsyn_lobstein_1997
2,24,10,9,12,lit_keri_ostergard_2003_2006,lit_cohen_lobstein_sloane_1986
2,25,1,1301089,1556480,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,25,2,107218,131072,lit_haas_2007_2008,rule_trivial_upper
2,25,3,13896,16384,lit_zhang_1991,rule_trivial_upper
2,25,4,2558,4096,lit_habsieger_plagne_2000,lit_graham_sloane_1985
2,25,5,608,2048,lit_li_chen_1994,rule_trivial_upper
2,25,6,172,512,lit_li_chen_1994,lit_graham_sloane_1985
2,25,7,60,224,lit_li_chen_1994,lit_van_wee_1988
2,25,8,25,64,lit_li_chen_1994,lit_graham_sloane_1985
2,25,9,13,32,lit_gijswijt_polak_2025,rule_trivial_upper
2,25,10,9,16,lit_plagne_2008,lit_graham_sloane_1985
2,26,1,2589179,3112960,lit_gijswijt_polak_2025,rule_trivial_upper
2,26,2,192747,262144,lit_gijswijt_polak_2025,rule_trivial_upper
2,26,3,24256,32768,lit_habsieger_plagne_2000,rule_trivial_upper
2,26,4,4273,8192,lit_habsieger_plagne_2000,rule_trivial_upper
2,26,5,981,4096,lit_li_chen_1994,rule_trivial_upper
2,26,6,275,1024,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,26,7,88,384,lit_li_chen_1994,lit_van_wee_1988
2,26,8,36,128,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,26,9,17,56,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,26,10,10,28,lit_keri_2009,lit_cohen_honkala_litsyn_lobstein_1997
2,27,1,4794174,5767168,lit_plagne_2008,lit_ostergard_kaikkonen_1998
2,27,2,380496,524288,lit_habsieger_plagne_2000,rule_trivial_upper
2,27,3,41012,65536,lit_gijswijt_polak_2025,rule_trivial_upper
2,27,4,7181,14336,lit_habsieger_plagne_2000,lit_van_wee_1988
2,27,5,1601,4096,lit_li_chen_1994,lit_graham_sloane_1985
2,27,6,419,1984,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,27,7,132,512,lit_li_chen_1994,lit_graham_sloane_1985
2,27,8,50,224,lit_li_chen_1994,lit_van_wee_1988
2,27,9,22,64,lit_li_chen_1994,lit_graham_sloane_1985
2,27,10,12,32,lit_gijswijt_polak_2025,lit_ostergard_kaikkonen_1998
2,28,1,9587084,11534336,lit_habsieger_plagne_2000,rule_trivial_upper
2,28,2,683980,1048576,lit_haas_2007_2008,rule_trivial_upper
2,28,3,80835,131072,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,28,4,12482,24576,lit_habsieger_plagne_2000,lit_van_wee_1988
2,28,5,2646,8192,lit_habsieger_plagne_2000,rule_trivial_upper
2,28,6,663,3584,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,28,7,202,960,lit_li_chen_1994,lit_honkala_1991
2,28,8,73,384,lit_li_chen_1994,lit_van_wee_1988
2,28,9,30,128,lit_honkala_1991,rule_trivial_upper
2,28,10,15,56,lit_habsieger_plagne_2000,lit_ostergard_kaikkonen_1998
2,29,1,18000844,23068672,lit_gijswijt_polak_2025,rule_trivial_upper
2,29,2,1239885,2097152,lit_gijswijt_polak_2025,rule_trivial_upper
2,29,3,140567,262144,lit_honkala_1991,rule_trivial_upper
2,29,4,21098,32768,lit_li_chen_1994,lit_graham_sloane_1985
2,29,5,4355,14336,lit_habsieger_plagne_2000,lit_van_wee_1988
2,29,6,1068,4096,lit_li_chen_1994,lit_graham_sloane_1985
2,29,7,311,1408,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,29,8,106,512,lit_li_chen_1994,lit_graham_sloane_1985
2,29,9,43,224,lit_bhandari_chanduka_lal_1998,lit_van_wee_1988
2,29,10,20,64,lit_gijswijt_polak_2025,lit_graham_sloane_1985
2,30,1,35876816,46137344,lit_wu_chen_2024,rule_trivial_upper
2,30,2,2461892,4194304,lit_habsieger_plagne_2000,rule_trivial_upper
2,30,3,248218,524288,lit_honkala_1991,rule_trivial_upper
2,30,4,38067,65536,lit_haas_2007_2008,rule_trivial_upper
2,30,5,7307,24576,lit_li_chen_1994,lit_van_wee_1988
2,30,6,1727,8192,lit_li_chen_1994,rule_trivial_upper
2,30,7,486,2048,lit_bhandari_chanduka_lal_1998,lit_graham_sloane_1985
2,30,8,158,896,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,30,9,61,384,lit_li_chen_1994,lit_van_wee_1988
2,30,10,27,128,lit_li_chen_1994,rule_trivial_upper
2,31,1,67108864,67108864,rule_perfect_code,rule_perfect_code
2,31,2,4464944,8388480,lit_haas_2007_2008,lit_honkala_hamalainen_1988
2,31,3,443515,524288,lit_habsieger_plagne_2000,lit_etzion_greenberg_1993
2,31,4,64680,126976,lit_honkala_1991,lit_ostergard_kaikkonen_1998
2,31,5,12220,32768,lit_li_chen_1994,lit_graham_sloane_1985
2,31,6,2808,14336,lit_li_chen_1994,lit_van_wee_1988
2,31,7,743,2048,lit_li_chen_1994,lit_graham_sloane_1985
2,31,8,238,1344,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,31,9,88,512,lit_li_chen_1994,lit_graham_sloane_1985
2,31,10,37,224,lit_honkala_1991,lit_van_wee_1988
2,32,1,134217728,134217728,lit_van_wee_1988,rule_trivial_upper
2,32,2,8173960,16776960,lit_gijswijt_polak_2025,rule_trivial_upper
2,32,3,855613,1048576,lit_haas_2007_2008,rule_trivial_upper
2,32,4,110467,245760,lit_haas_2007_2008,lit_honkala_1991
2,32,5,20556,61440,lit_li_chen_1994,lit_honkala_1991
2,32,6,4597,24576,lit_li_chen_1994,lit_van_wee_1988
2,32,7,1179,4096,lit_li_chen_1994,rule_trivial_upper
2,32,8,369,2048,lit_bhandari_chanduka_lal_1998,lit_graham_sloane_1985
2,32,9,127,896,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,32,10,53,384,lit_bhandari_chanduka_lal_1998,lit_van_wee_1988
2,33,1,253764801,268435456,lit_gijswijt_polak_2025,rule_trivial_upper
2,33,2,16210701,32505856,lit_haas_2007_2008,lit_ostergard_kaikkonen_1998
2,33,3,1516208,2097152,lit_bhandari_chanduka_lal_1998,rule_trivial_upper
2,33,4,193704,393216,lit_habsieger_plagne_2000,lit_van_wee_1988
2,33,5,34731,90112,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,33,6,7476,32768,lit_li_chen_1994,lit_graham_sloane_1985
2,33,7,1878,8192,lit_li_chen_1994,rule_trivial_upper
2,33,8,557,2048,lit_li_chen_1994,lit_graham_sloane_1985
2,33,9,188,1024,lit_li_chen_1994,lit_ostergard_kaikkonen_1998
2,33,10,74,512,lit_li_chen_1994,lit_graham_sloane_1985
3,1,1,1,1,rule_trivial_lower,rule_trivial_upper
3,2,1,3,3,rule_trivial_lower,rule_trivial_upper
3,2,2,1,1,rule_trivial_lower,rule_trivial_upper
3,3,1,5,5,lit_taussky_todd_1948,rule_trivial_upper
3,3,2,3,3,lit_taussky_todd_1948,rule_trivial_upper
3,3,3,1,1,rule_trivial_lower,rule_trivial_upper
3,4,1,9,9,rule_perfect_code,rule_trivial_upper
3,4,2,3,3,rule_perfect_code,rule_trivial_upper
3,4,3,3,3,rule_trivial_lower,rule_trivial_upper
3,4,4,1,1,rule_trivial_lower,rule_trivial_upper
3,5,1,27,27,lit_kamps_van_lint_1967,rule_trivial_upper
3,5,2,8,8,lit_ostergard_hamalainen_1993,rule_trivial_upper
3,5,3,3,3,lit_keri_2008_2009,rule_trivial_upper
3,5,4,3,3,rule_trivial_lower,rule_trivial_upper
3,5,5,1,1,rule_trivial_lower,rule_trivial_upper
3,6,1,71,73,lit_linderoth_margot_thain_2007,lit_laarhoven_aarts_van_lint_wille_1989
3,6,2,15,17,lit_bertolo_ostergard_weakly_2004,lit_hamalainen_rankinen_1991
3,6,3,6,6,lit_bhandari_durairajan_1996,lit_hamalainen_rankinen_1991
3,6,4,3,3,rule_trivial_lower,rule_trivial_upper
3,6,5,3,3,rule_trivial_lower,rule_trivial_upper
3,6,6,1,1,rule_trivial_lower,rule_trivial_upper
3,7,1,156,186,lit_haas_2006,lit_laarhoven_aarts_van_lint_wille_1989
3,7,2,27,34,lit_gijswijt_polak_2025,lit_ostergard_hamalainen_1993
3,7,3,11,12,lit_keri_2008_2009,lit_hamalainen_rankinen_1991
3,7,4,3,3,rule_trivial_lower,rule_trivial_upper
3,7,5,3,3,rule_trivial_lower,rule_trivial_upper
3,7,6,3,3,rule_trivial_lower,rule_trivial_upper
3,7,7,1,1,rule_trivial_lower,rule_trivial_upper
3,8,1,403,486,lit_gijswijt_polak_2025,lit_laarhoven_aarts_van_lint_wille_1989
3,8,2,58,81,lit_gijswijt_polak_2025,lit_hamalainen_rankinen_1991
3,8,3,16,27,lit_gijswijt_polak_2025,lit_hamalainen_rankinen_1991;lit_bartoli_davydov_marcugini_pambianco_2020
3,8,4,9,9,lit_keri_ostergard_2003_2006,rule_trivial_upper
3,8,5,3,3,rule_trivial_lower,rule_trivial_upper
3,8,6,3,3,rule_trivial_lower,rule_trivial_upper
3,8,7,3,3,rule_trivial_lower,rule_trivial_upper
3,8,8,1,1,rule_trivial_lower,rule_trivial_upper
3,9,1,1064,1269,lit_gijswijt_polak_2025,lit_di_pasquale_ostergard_2003
3,9,2,132,219,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,9,3,31,54,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,9,4,11,18,lit_keri_2008_2009,lit_ostergard_1991_and_1992
3,9,5,6,6,lit_keri_ostergard_2003,rule_trivial_upper
3,9,6,3,3,lit_haas_halupczok_schlage_puchta_2009,rule_trivial_upper
3,9,7,3,3,rule_trivial_lower,rule_trivial_upper
3,9,8,3,3,rule_trivial_lower,rule_trivial_upper
3,10,1,2854,3645,lit_haas_2002,lit_blokhuis_lam_1984
3,10,2,323,555,rule_improved_sphere_covering_bound,lit_bertolo_ostergard_weakly_2004
3,10,3,61,105,lit_gijswijt_polak_2025,lit_bertolo_di_pasquale_santisi_2005_2006
3,10,4,18,36,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,10,5,9,12,lit_keri_ostergard_2003_2006,rule_trivial_upper
3,10,6,3,3,lit_haas_halupczok_schlage_puchta_2009,rule_trivial_upper
3,10,7,3,3,rule_trivial_lower,rule_trivial_upper
3,10,8,3,3,rule_trivial_lower,rule_trivial_upper
3,11,1,7832,9477,lit_habsieger_plagne_2000,lit_ostergard_1994
3,11,2,729,729,rule_perfect_code,rule_perfect_code
3,11,3,129,243,lit_gijswijt_polak_2025,lit_hamalainen_rankinen_1991
3,11,4,34,81,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,11,5,12,27,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,11,6,9,9,lit_keri_ostergard_2003_2006,rule_trivial_upper
3,11,7,3,3,rule_trivial_lower,rule_trivial_upper
3,11,8,3,3,rule_trivial_lower,rule_trivial_upper
3,12,1,21531,27702,lit_habsieger_1996,lit_ostergard_1994
3,12,2,1919,2187,rule_improved_sphere_covering_bound,rule_trivial_upper
3,12,3,282,657,rule_improved_sphere_covering_bound,lit_rivas_soriano_2005_2006_2009
3,12,4,65,175,lit_gijswijt_polak_2025,lit_bertolo_di_pasquale_santisi_2005_2006
3,12,5,21,54,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,12,6,10,18,lit_keri_2008_2009,lit_ostergard_1991_and_1992
3,12,7,6,6,lit_bhandari_durairajan_1996,rule_trivial_upper
3,12,8,3,3,lit_haas_halupczok_schlage_puchta_2009,rule_trivial_upper
3,13,1,59049,59049,rule_perfect_code,rule_perfect_code
3,13,2,5062,6561,rule_improved_sphere_covering_bound,rule_trivial_upper
3,13,3,640,1215,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,13,4,130,335,lit_gijswijt_polak_2025,lit_rivas_soriano_2011
3,13,5,37,108,lit_gijswijt_polak_2025,lit_ostergard_1999
3,13,6,14,36,lit_gijswijt_polak_2025,lit_keri_ostergard_2003_2006
3,13,7,9,12,lit_keri_ostergard_2003_2006,rule_trivial_upper
3,13,8,3,3,lit_haas_halupczok_schlage_puchta_2009,rule_trivial_upper
3,14,1,166610,177147,lit_habsieger_plagne_2000,rule_trivial_upper
3,14,2,12323,19683,lit_gijswijt_polak_2025,rule_trivial_upper
3,14,3,1553,2187,rule_improved_sphere_covering_bound,lit_ostergard_1991_and_1992
3,14,4,273,729,lit_gijswijt_polak_2025,lit_ostergard_1991_and_1992
3,14,5,69,243,lit_gijswijt_polak_2025,lit_ostergard_1999
3,14,6,24,81,lit_gijswijt_polak_2025,lit_bhandari_durairajan_1996
3,14,7,11,27,lit_keri_2008_2009,lit_ostergard_1991_and_1992
3,14,8,9,9,lit_keri_ostergard_2003_2006,rule_trivial_upper
4,1,1,1,1,rule_trivial_lower,rule_trivial_upper
4,2,1,4,4,rule_trivial_lower,rule_trivial_upper
4,2,2,1,1,rule_trivial_lower,rule_trivial_upper
4,3,1,8,8,lit_kalbfleisch_stanton_1969,rule_trivial_upper
4,3,2,4,4,lit_kalbfleisch_stanton_1969,rule_trivial_upper
4,3,3,1,1,rule_trivial_lower,rule_trivial_upper
4,4,1,24,24,lit_kalbfleisch_stanton_1969,lit_stanton_horton_kalbfleisch_1969
4,4,2,7,7,lit_cohen_honkala_litsyn_lobstein_1997,lit_ostergard_1994
4,4,3,4,4,rule_trivial_lower,rule_trivial_upper
4,4,4,1,1,rule_trivial_lower,rule_trivial_upper
4,5,1,64,64,rule_hamming_code,rule_hamming_code
4,5,2,16,16,lit_haas_schlage_puchta_quistorff_2008_2009,rule_trivial_upper
4,5,3,4,4,lit_haas_halupczok_schlage_puchta_2009,rule_trivial_upper
4,5,4,4,4,rule_trivial_lower,rule_trivial_upper
4,5,5,1,1,rule_trivial_lower,rule_trivial_upper
